Routing Table for All Nodes
Shotest Path Routing for Node 0:
Destination Node                         Path       Path Cost
               2                13 14 8 0 1 2              20
               3                 13 7 6 5 4 3              18
               4                13 12 8 2 3 4              21
               5              13 12 8 2 3 4 5              22
               6            13 12 8 2 3 4 5 6              25
               7                      13 14 7              10
               8                      13 14 8               8
               9                    13 14 8 9              17
              10               13 14 12 11 10              20
              11                  13 14 17 11              15
              12                     13 14 12               8
              14                     13 12 14              10
              15                  13 14 18 15              15
              16               13 14 18 23 16              13
              17                     13 14 17               8
              18                     13 19 18              10
              19                     13 14 19              11
              20                  13 14 18 20              14
              21                  13 19 20 21              12
              22                  13 14 18 22              10
              23                  13 12 17 23              12

Second Shotest Path Routing for Node 14:
Destination Node                         Path       Path Cost
               0                    14 12 9 0              14
               1                  14 12 8 2 1              19
               2                14 12 8 0 1 2              20
               3                 14 7 6 5 4 3              19
               4                   14 8 2 3 4              21
               5                 14 8 2 3 4 5              22
               6               14 8 2 3 4 5 6              25
               7                      14 13 7               9
               8                      14 12 8               8
               9                       14 8 9              15
              10               14 13 12 11 10              18
              11                     14 17 11              13
              12                     14 13 12               6
              13                     14 12 13              10
              15                     14 17 15              14
              16                  14 18 23 16              11
              17                     14 12 17               9
              18                     14 17 18              11
              19                        14 19               9
              20                     14 18 20              12
              21               14 13 19 20 21              14
              22                     14 17 22               9
              23                     14 17 23              11

Second Shotest Path Routing for Node 15:
Destination Node                         Path       Path Cost
               0                    15 10 9 0              18
               1               15 18 14 8 2 1              30
               2                15 10 9 0 1 2              26
               3           15 18 14 7 6 5 4 3              32
               4             15 18 14 8 2 3 4              34
               5           15 18 14 8 2 3 4 5              35
               6         15 18 14 8 2 3 4 5 6              38
               7                   15 18 14 7              21
               8                   15 18 14 8              19
               9                   15 17 12 9              14
              10                15 17 12 9 10              21
              11                     15 17 11              15
              12                   15 10 9 12              16
              13                  15 18 14 13              15
              14                     15 17 14              14
              16                     15 17 16              11
              17                     15 18 17              12
              18                     15 17 18              13
              19               15 17 12 13 19              20
              20               15 17 18 21 20              19
              21                  15 17 22 21              16
              22                     15 17 22              11
              23                     15 17 23              13

Second Shotest Path Routing for Node 16:
Destination Node                         Path       Path Cost
               0           16 23 18 14 12 9 0              25
               1            16 23 18 14 8 2 1              28
               2          16 23 18 14 8 0 1 2              29
               3        16 23 18 14 7 6 5 4 3              30
               4          16 23 18 14 8 2 3 4              32
               5        16 23 18 14 8 2 3 4 5              33
               6      16 23 18 14 8 2 3 4 5 6              36
               7                16 23 18 14 7              19
               8                16 23 18 14 8              17
               9                   16 15 10 9              22
              10                16 17 12 9 10              16
              11               16 23 17 12 11              18
              12               16 23 18 14 12              17
              13               16 23 18 14 13              13
              14                  16 23 18 14              11
              15                     16 17 15              11
              17                     16 23 17               9
              18                     16 17 18               8
              19               16 17 12 13 19              15
              20               16 17 18 21 20              14
              21                  16 17 22 21              11
              22                  16 23 18 22               7
              23                     16 17 23               8

Second Shotest Path Routing for Node 17:
Destination Node                         Path       Path Cost
               0                 17 14 12 9 0              20
               1                  17 14 8 2 1              23
               2                17 14 8 0 1 2              24
               3              17 14 7 6 5 4 3              25
               4                17 14 8 2 3 4              27
               5              17 14 8 2 3 4 5              28
               6            17 14 8 2 3 4 5 6              31
               7                      17 14 7              14
               8                      17 14 8              12
               9                   17 11 10 9              20
              10                     17 11 10              13
              11                     17 12 11               9
              12                     17 14 12              12
              13                     17 14 13               8
              14                     17 12 14               9
              15                     17 16 15              12
              16                     17 23 16               9
              18                     17 22 18               5
              19                  17 12 13 19              12
              20               17 22 18 21 20              11
              21                     17 22 21               8
              22                     17 18 22               7
              23                     17 18 23               6

Second Shotest Path Routing for Node 18:
Destination Node                         Path       Path Cost
               0                 18 14 12 9 0              20
               1                  18 14 8 2 1              23
               2                18 14 8 0 1 2              24
               3              18 14 7 6 5 4 3              25
               4             18 17 12 8 2 3 4              25
               5           18 17 12 8 2 3 4 5              26
               6         18 17 12 8 2 3 4 5 6              29
               7                 18 17 12 8 7              16
               8                      18 14 8              12
               9                   18 15 10 9              20
              10                18 17 12 9 10              18
              11               18 22 17 12 11              14
              12                     18 14 12              12
              13                     18 19 13              10
              14                     18 17 14              11
              15                     18 17 15              13
              16                     18 17 16               8
              17                     18 22 17               5
              19                     18 20 19               8
              20                     18 21 20               6
              21                     18 22 21               7
              22                     18 21 22               6
              23                     18 22 23               8

Second Shotest Path Routing for Node 19:
Destination Node                         Path       Path Cost
               0              19 18 17 12 9 0              21
               1                  19 14 8 2 1              26
               2                19 14 8 0 1 2              27
               3              19 14 7 6 5 4 3              28
               4                19 14 8 2 3 4              30
               5              19 14 8 2 3 4 5              31
               6            19 14 8 2 3 4 5 6              34
               7                      19 14 7              17
               8                      19 14 8              15
               9                    19 14 8 9              24
              10                19 13 12 9 10              19
              11                  19 18 17 11              17
              12                  19 18 17 12              13
              13                     19 14 13              11
              14                        19 14               9
              15               19 13 12 17 15              20
              16               19 13 12 17 16              15
              17                  19 13 12 17              12
              18                     19 20 18               8
              20                     19 18 20              11
              21                     19 20 21               7
              22                  19 20 21 22              12
              23               19 20 18 22 23              16

Second Shotest Path Routing for Node 20:
Destination Node                         Path       Path Cost
               0              20 18 17 12 9 0              22
               1               20 18 14 8 2 1              29
               2          20 18 17 12 9 0 1 2              30
               3           20 18 14 7 6 5 4 3              31
               4          20 18 17 12 8 2 3 4              31
               5        20 18 17 12 8 2 3 4 5              32
               6      20 18 17 12 8 2 3 4 5 6              35
               7                   20 18 14 7              20
               8                   20 18 14 8              18
               9              20 18 17 12 8 9              25
              10             20 19 13 12 9 10              21
              11                  20 18 17 11              18
              12                  20 18 17 12              14
              13                  20 18 14 13              14
              14                     20 18 14              12
              15               20 21 18 17 15              19
              16               20 21 18 17 16              14
              17               20 21 18 22 17              11
              18                     20 21 18               6
              19                     20 18 19              11
              21                     20 18 21               7
              22                     20 21 22              10
              23               20 21 18 22 23              14

Second Shotest Path Routing for Node 21:
Destination Node                         Path       Path Cost
               0           21 20 19 13 12 9 0              24
               1            21 22 18 14 8 2 1              30
               2          21 22 18 14 8 0 1 2              31
               3        21 20 19 13 7 6 5 4 3              30
               4          21 22 17 12 8 2 3 4              28
               5        21 22 17 12 8 2 3 4 5              29
               6      21 22 17 12 8 2 3 4 5 6              32
               7                21 20 19 13 7              19
               8                21 22 18 14 8              19
               9           21 20 19 13 12 8 9              27
              10             21 22 17 12 9 10              21
              11               21 22 17 12 11              17
              12               21 20 19 13 12              16
              13                  21 20 19 13              12
              14                  21 22 17 14              14
              15                  21 22 17 15              16
              16                  21 22 17 16              11
              17                     21 22 17               8
              18                     21 22 18               7
              19                     21 20 19               7
              20                     21 18 20               7
              22                        21 22               5
              23                     21 22 23              11

Second Shotest Path Routing for Node 22:
Destination Node                         Path       Path Cost
               0              22 18 14 12 9 0              22
               1               22 18 14 8 2 1              25
               2             22 18 14 8 0 1 2              26
               3           22 18 14 7 6 5 4 3              27
               4             22 18 14 8 2 3 4              29
               5           22 18 14 8 2 3 4 5              30
               6         22 18 14 8 2 3 4 5 6              33
               7                   22 18 14 7              16
               8                   22 18 14 8              14
               9                22 18 15 10 9              22
              10                22 17 12 9 10              16
              11               22 18 17 12 11              16
              12                  22 18 14 12              14
              13                  22 18 14 13              10
              14                     22 17 14               9
              15                     22 17 15              11
              16                  22 18 23 16               7
              17                     22 18 17               7
              18                     22 21 18               6
              19                  22 21 20 19              12
              20                     22 21 20              10
              21                        22 21               5
              23                        22 23               6

Second Shotest Path Routing for Node 23:
Destination Node                         Path       Path Cost
               0              23 18 14 12 9 0              21
               1               23 18 14 8 2 1              24
               2             23 18 14 8 0 1 2              25
               3           23 18 14 7 6 5 4 3              26
               4             23 17 12 8 2 3 4              25
               5           23 17 12 8 2 3 4 5              26
               6         23 17 12 8 2 3 4 5 6              29
               7                 23 17 12 8 7              16
               8                   23 18 14 8              13
               9                23 18 15 10 9              21
              10                23 17 12 9 10              18
              11               23 18 17 12 11              15
              12                  23 18 14 12              13
              13                  23 17 12 13              12
              14                     23 17 14              11
              15                     23 16 15              13
              16                     23 17 16               8
              17                     23 18 17               6
              18                     23 22 18               8
              19               23 22 18 20 19              16
              20               23 22 18 21 20              14
              21                     23 22 21              11
              22                        23 22               6

