Routing Table for All Nodes
Shotest Path Routing for Node 0:
Destination Node                         Path       Path Cost
              14                         8 14               6
              15                   8 12 17 15              13
              16                   8 12 17 16               8
              17                      8 12 17               5
              18                   8 12 17 18              10
              19                   8 12 13 19              11
              20                8 12 13 19 20              13
              21                8 12 17 18 21              11
              22                   8 12 17 22               8
              23                   8 12 17 23              10

Shotest Path Routing for Node 9:
Destination Node                         Path       Path Cost
               0                          9 0               5
               1                        9 0 1               7
               2                     9 12 8 2              10
               3                   9 12 8 2 3              17
               4               9 12 8 7 6 5 4              19
               5                 9 12 8 7 6 5              18
               6                   9 12 8 7 6              15
               7                     9 12 8 7              11
               8                       9 12 8               5
              10                         9 10               7
              11                      9 12 11               9
              12                         9 12               3
              13                      9 12 13               7
              14                      9 12 14               9
              15                      9 10 15              13
              16                   9 12 17 16               9
              17                      9 12 17               6
              18                   9 12 17 18              11
              19                   9 12 13 19              12
              20                9 12 13 19 20              14
              21                9 12 17 18 21              12
              22                   9 12 17 22               9
              23                   9 12 17 23              11

Shotest Path Routing for Node 10:
Destination Node                         Path       Path Cost
               0                       10 9 0              12
               1                     10 9 0 1              14
               2                  10 9 12 8 2              17
               3                10 9 12 8 2 3              24
               4            10 9 12 8 7 6 5 4              26
               5              10 9 12 8 7 6 5              25
               6                10 9 12 8 7 6              22
               7                  10 9 12 8 7              18
               8                    10 9 12 8              12
               9                         10 9               7
              11                        10 11               6
              12                      10 9 12              10
              13                   10 9 12 13              14
              14                   10 9 12 14              16
              15                        10 15               6
              16                     10 15 16              15
              17                     10 11 17              13
              18                     10 15 18              13
              19                  10 15 18 19              18
              20                  10 15 18 20              19
              21                  10 15 18 21              14
              22                  10 15 18 22              15
              23                  10 15 18 23              14

Shotest Path Routing for Node 11:
Destination Node                         Path       Path Cost
               0                    11 12 8 0              12
               1                  11 12 8 0 1              14
               2                    11 12 8 2              13
               3                  11 12 8 2 3              20
               4              11 12 8 7 6 5 4              22
               5                11 12 8 7 6 5              21
               6                  11 12 8 7 6              18
               7                    11 12 8 7              14
               8                      11 12 8               8
               9                      11 12 9               9
              10                        11 10               6
              12                        11 12               6
              13                     11 12 13              10
              14                     11 12 14              12
              15                     11 10 15              12
              16                     11 17 16              10
              17                        11 17               7
              18                     11 17 18              12
              19                  11 12 13 19              15
              20               11 12 13 19 20              17
              21                  11 17 18 21              13
              22                     11 17 22              10
              23                     11 17 23              12

Shotest Path Routing for Node 12:
Destination Node                         Path       Path Cost
               0                       12 8 0               6
               1                     12 8 0 1               8
               2                       12 8 2               7
               3                     12 8 2 3              14
               4                 12 8 7 6 5 4              16
               5                   12 8 7 6 5              15
               6                     12 8 7 6              12
               7                       12 8 7               8
               8                         12 8               2
               9                         12 9               3
              10                      12 9 10              10
              11                        12 11               6
              13                        12 13               4
              14                        12 14               6
              15                     12 17 15              11
              16                     12 17 16               6
              17                        12 17               3
              18                     12 17 18               8
              19                     12 13 19               9
              20                  12 13 19 20              11
              21                  12 17 18 21               9
              22                     12 17 22               6
              23                     12 17 23               8

Shotest Path Routing for Node 13:
Destination Node                         Path       Path Cost
               0                    13 12 8 0              10
               1                  13 12 8 0 1              12
               2                    13 12 8 2              11
               3                  13 12 8 2 3              18
               4                   13 7 6 5 4              15
               5                     13 7 6 5              14
               6                       13 7 6              11
               7                         13 7               7
               8                      13 12 8               6
               9                      13 12 9               7
              10                   13 12 9 10              14
              11                     13 12 11              10
              12                        13 12               4
              14                        13 14               2
              15                  13 12 17 15              15
              16                  13 12 17 16              10
              17                     13 12 17               7
              18                     13 14 18               8
              19                        13 19               5
              20                     13 19 20               7
              21                  13 14 18 21               9
              22                  13 12 17 22              10
              23                  13 14 18 23               9

Shotest Path Routing for Node 14:
Destination Node                         Path       Path Cost
               0                       14 8 0              10
               1                     14 8 0 1              12
               2                       14 8 2              11
               3                     14 8 2 3              18
               4                   14 7 6 5 4              16
               5                     14 7 6 5              15
               6                       14 7 6              12
               7                         14 7               8
               8                         14 8               6
               9                      14 12 9               9
              10                   14 12 9 10              16
              11                     14 12 11              12
              12                        14 12               6
              13                        14 13               2
              15                     14 18 15              13
              16                     14 17 16               9
              17                        14 17               6
              18                        14 18               6
              19                     14 13 19               7
              20                  14 13 19 20               9
              21                     14 18 21               7
              22                     14 18 22               8
              23                     14 18 23               7

Shotest Path Routing for Node 15:
Destination Node                         Path       Path Cost
               0                 15 17 12 8 0              17
               1               15 17 12 8 0 1              19
               2                 15 17 12 8 2              18
               3               15 17 12 8 2 3              25
               4           15 17 12 8 7 6 5 4              27
               5             15 17 12 8 7 6 5              26
               6               15 17 12 8 7 6              23
               7                 15 17 12 8 7              19
               8                   15 17 12 8              13
               9                      15 10 9              13
              10                        15 10               6
              11                     15 10 11              12
              12                     15 17 12              11
              13                  15 17 12 13              15
              14                     15 18 14              13
              16                        15 16               9
              17                        15 17               8
              18                        15 18               7
              19                     15 18 19              12
              20                     15 18 20              13
              21                     15 18 21               8
              22                     15 18 22               9
              23                     15 18 23               8

Shotest Path Routing for Node 16:
Destination Node                         Path       Path Cost
               0                 16 17 12 8 0              12
               1               16 17 12 8 0 1              14
               2                 16 17 12 8 2              13
               3               16 17 12 8 2 3              20
               4           16 17 12 8 7 6 5 4              22
               5             16 17 12 8 7 6 5              21
               6               16 17 12 8 7 6              18
               7                 16 17 12 8 7              14
               8                   16 17 12 8               8
               9                   16 17 12 9               9
              10                     16 15 10              15
              11                     16 17 11              10
              12                     16 17 12               6
              13                  16 17 12 13              10
              14                     16 17 14               9
              15                        16 15               9
              17                        16 17               3
              18                     16 23 18               5
              19                  16 23 18 19              10
              20                  16 23 18 20              11
              21                  16 23 18 21               6
              22                     16 17 22               6
              23                        16 23               4

Shotest Path Routing for Node 17:
Destination Node                         Path       Path Cost
               0                    17 12 8 0               9
               1                  17 12 8 0 1              11
               2                    17 12 8 2              10
               3                  17 12 8 2 3              17
               4              17 12 8 7 6 5 4              19
               5                17 12 8 7 6 5              18
               6                  17 12 8 7 6              15
               7                    17 12 8 7              11
               8                      17 12 8               5
               9                      17 12 9               6
              10                   17 12 9 10              13
              11                        17 11               7
              12                        17 12               3
              13                     17 12 13               7
              14                        17 14               6
              15                        17 15               8
              16                        17 16               3
              18                        17 18               5
              19                     17 18 19              10
              20                     17 18 20              11
              21                     17 18 21               6
              22                        17 22               3
              23                        17 23               5

Shotest Path Routing for Node 18:
Destination Node                         Path       Path Cost
               0                 18 17 12 8 0              14
               1               18 17 12 8 0 1              16
               2                 18 17 12 8 2              15
               3               18 17 12 8 2 3              22
               4                18 14 7 6 5 4              22
               5                  18 14 7 6 5              21
               6                    18 14 7 6              18
               7                      18 14 7              14
               8                   18 17 12 8              10
               9                   18 17 12 9              11
              10                     18 15 10              13
              11                     18 17 11              12
              12                     18 17 12               8
              13                     18 14 13               8
              14                        18 14               6
              15                        18 15               7
              16                     18 23 16               5
              17                        18 17               5
              19                        18 19               5
              20                        18 20               6
              21                        18 21               1
              22                        18 22               2
              23                        18 23               1

Shotest Path Routing for Node 19:
Destination Node                         Path       Path Cost
               0                 19 13 12 8 0              15
               1               19 13 12 8 0 1              17
               2                 19 13 12 8 2              16
               3               19 13 12 8 2 3              23
               4                19 13 7 6 5 4              20
               5                  19 13 7 6 5              19
               6                    19 13 7 6              16
               7                      19 13 7              12
               8                   19 13 12 8              11
               9                   19 13 12 9              12
              10                  19 18 15 10              18
              11                  19 13 12 11              15
              12                     19 13 12               9
              13                        19 13               5
              14                     19 13 14               7
              15                     19 18 15              12
              16                  19 18 23 16              10
              17                     19 18 17              10
              18                        19 18               5
              20                        19 20               2
              21                     19 18 21               6
              22                     19 18 22               7
              23                     19 18 23               6

Shotest Path Routing for Node 20:
Destination Node                         Path       Path Cost
               0              20 19 13 12 8 0              17
               1            20 19 13 12 8 0 1              19
               2              20 19 13 12 8 2              18
               3            20 19 13 12 8 2 3              25
               4             20 19 13 7 6 5 4              22
               5               20 19 13 7 6 5              21
               6                 20 19 13 7 6              18
               7                   20 19 13 7              14
               8                20 19 13 12 8              13
               9                20 19 13 12 9              14
              10                  20 18 15 10              19
              11               20 19 13 12 11              17
              12                  20 19 13 12              11
              13                     20 19 13               7
              14                  20 19 13 14               9
              15                     20 18 15              13
              16                  20 18 23 16              11
              17                     20 18 17              11
              18                        20 18               6
              19                        20 19               2
              21                        20 21               5
              22                     20 18 22               8
              23                     20 18 23               7

Shotest Path Routing for Node 21:
Destination Node                         Path       Path Cost
               0              21 18 17 12 8 0              15
               1            21 18 17 12 8 0 1              17
               2              21 18 17 12 8 2              16
               3            21 18 17 12 8 2 3              23
               4             21 18 14 7 6 5 4              23
               5               21 18 14 7 6 5              22
               6                 21 18 14 7 6              19
               7                   21 18 14 7              15
               8                21 18 17 12 8              11
               9                21 18 17 12 9              12
              10                  21 18 15 10              14
              11                  21 18 17 11              13
              12                  21 18 17 12               9
              13                  21 18 14 13               9
              14                     21 18 14               7
              15                     21 18 15               8
              16                  21 18 23 16               6
              17                     21 18 17               6
              18                        21 18               1
              19                     21 18 19               6
              20                        21 20               5
              22                     21 18 22               3
              23                     21 18 23               2

Shotest Path Routing for Node 22:
Destination Node                         Path       Path Cost
               0                 22 17 12 8 0              12
               1               22 17 12 8 0 1              14
               2                 22 17 12 8 2              13
               3               22 17 12 8 2 3              20
               4           22 17 12 8 7 6 5 4              22
               5             22 17 12 8 7 6 5              21
               6               22 17 12 8 7 6              18
               7                 22 17 12 8 7              14
               8                   22 17 12 8               8
               9                   22 17 12 9               9
              10                  22 18 15 10              15
              11                     22 17 11              10
              12                     22 17 12               6
              13                  22 17 12 13              10
              14                     22 18 14               8
              15                     22 18 15               9
              16                     22 17 16               6
              17                        22 17               3
              18                        22 18               2
              19                     22 18 19               7
              20                     22 18 20               8
              21                     22 18 21               3
              23                     22 18 23               3

Shotest Path Routing for Node 23:
Destination Node                         Path       Path Cost
               0                 23 17 12 8 0              14
               1               23 17 12 8 0 1              16
               2                 23 17 12 8 2              15
               3               23 17 12 8 2 3              22
               4             23 18 14 7 6 5 4              23
               5               23 18 14 7 6 5              22
               6                 23 18 14 7 6              19
               7                   23 18 14 7              15
               8                   23 17 12 8              10
               9                   23 17 12 9              11
              10                  23 18 15 10              14
              11                     23 17 11              12
              12                     23 17 12               8
              13                  23 18 14 13               9
              14                     23 18 14               7
              15                     23 18 15               8
              16                        23 16               4
              17                        23 17               5
              18                        23 18               1
              19                     23 18 19               6
              20                     23 18 20               7
              21                     23 18 21               2
              22                     23 18 22               3



Second Shotest Path Routing for Node 0:
Destination Node                         Path       Path Cost
               1                      0 8 2 1              15
               2                        0 8 2               9
               3                0 8 7 6 5 4 3              21
               4                  0 8 7 6 5 4              18
               5                  0 1 2 3 4 5              19
               6                0 1 2 3 4 5 6              22
               7                  0 9 12 13 7              19
               8                     0 9 12 8              10
               9                     0 8 12 9               9
              10                 0 8 12 11 10              18
              11                 0 9 12 17 11              18
              12                       0 9 12               8
              13                 0 9 12 14 13              16
              14                    0 9 12 14              14
              15                    0 9 10 15              18
              16           0 9 12 14 18 23 16              25
              17                 0 9 12 14 17              20
              18                 0 9 12 14 18              20
              19              0 9 12 17 18 19              21
              20              0 9 12 17 18 20              22
              21           0 9 12 13 19 20 21              24
              22              0 9 12 14 18 22              22
              23              0 9 12 14 18 23              21

Second Shotest Path Routing for Node 1:
Destination Node                         Path       Path Cost
               0                      1 2 8 0              15
               2                      1 0 8 2              11
               3              1 0 8 7 6 5 4 3              23
               4                1 0 8 7 6 5 4              20
               5                  1 0 8 7 6 5              19
               6                  1 2 3 4 5 6              20
               7                1 2 8 12 13 7              24
               8                        1 2 8              11
               9                   1 2 8 12 9              16
              10               1 2 8 12 11 10              25
              11                     1 2 8 11              21
              12                  1 2 8 14 12              23
              13                  1 2 8 14 13              19
              14                  1 2 8 12 14              19
              15               1 2 8 14 18 15              30
              16            1 2 8 14 18 23 16              28
              17                  1 2 8 14 17              23
              18                  1 2 8 14 18              23
              19                  1 2 8 14 19              26
              20               1 2 8 14 18 20              29
              21            1 2 8 14 18 22 21              30
              22               1 2 8 14 18 22              25
              23               1 2 8 14 18 23              24

Second Shotest Path Routing for Node 2:
Destination Node                         Path       Path Cost
               0                        2 8 0               9
               1                      2 8 0 1              11
               3                2 8 7 6 5 4 3              22
               4                  2 8 7 6 5 4              19
               5                    2 8 7 6 5              18
               6                      2 8 7 6              15
               7                  2 3 4 5 6 7              18
